Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
4932.YGR136W,0.07205139972464433,0.009773280494498467,0.00012357616573716046,0.5013805798435342,0.32610561503365404
4932.YMR224C,0.11213094691754628,0.014441545146420603,0.00020604725844929094,0.5154143341480723,0.25176496022782335
4932.YNL272C,0.04834021722502677,0.005067162603710318,4.137545258863889e-05,0.489736290080911,0.26196503918022906
4932.YIR021W-A,0.024017133241548114,0.0001762329348551804,6.216922707945795e-05,0.42859952793076317,0.7524906091785073
4932.YCL052C,0.040079547192901945,0.004214474983659055,5.462457608662498e-05,0.4872177088767981,0.19952619110292183
4932.YIL102C-A,0.003059507419305492,0.0002767805771546305,4.2691928233147195e-07,0.4242876614525865,0.22105263157894736
4932.YMR197C,0.06394370506348479,0.005718224250964517,0.00014373232726926595,0.4942163755953731,0.22492627907243584
4932.YGL071W,0.07755851307939422,0.007652299895513805,0.00024956043924839646,0.5066263659614043,0.19359792938388257
4932.YHR024C,0.08872571515985928,0.011876068424592793,7.099090660338612e-05,0.5096281281671474,0.3110714073015306
4932.YDR313C,0.03426648309622151,0.0033071038505295466,5.413477024497367e-05,0.4829343971631206,0.22309417040358745
4932.YHR114W,0.05247055224108919,0.005509911867045076,0.0003439838556282185,0.49440326728180306,0.2262288373996215
4932.YFL005W,0.1054000305950742,0.01089298318891003,0.0002810823565494304,0.5141171844278412,0.22638134134404428
4932.YNL121C,0.0705216460149916,0.007880155208159838,0.00019452725620594164,0.5047096973440395,0.2390549844383665
4932.YPL241C,0.026464739176992505,0.002296312686942978,8.313692912232129e-05,0.4838279920065132,0.24875655330017477
4932.YIL002C,0.03778491662842283,0.0035002095340565817,5.7669671695061435e-05,0.48707249832352284,0.29307791053619037
4932.YER001W,0.046963438886339304,0.0042365844040936846,0.00010662964580789761,0.4953773870869961,0.21012965446765025
4932.YDR021W,0.22502677068991894,0.03584522207945762,0.0005793456845885862,0.5490970180596388,0.2991597182720811
4932.YOR231W,0.06424965580541533,0.008435666834433387,3.434378812535198e-05,0.4958282766990291,0.375224457324696
4932.YBR012C,0.002753556677374943,0.0003191058178090172,6.392754451893036e-07,0.4176463071811909,0.41830065359477125
4932.YDR022C,0.01896894599969405,0.0016431385867758733,1.170556783138463e-05,0.4747966298663568,0.3637555730396014
4932.YKL113C,0.13048799143337925,0.016620650750518013,0.00048669973507371213,0.5245546461242176,0.24191613141136778
4932.YJR112W-A,0.014685635612666361,0.0011144951036165618,2.6994250574004528e-05,0.47621475923362716,0.19473684210526315
4932.YNR075C-A,0.038396818112283924,0.0002570785608562423,0.0002573613432193276,0.43420790435071405,0.6857689243027888
4932.YIL074C,0.12972311457855287,0.01815301851263052,0.00030144139894884087,0.5205032247790429,0.2870759172217148
4932.YLR406C,0.11427260211106013,0.02103640094091237,7.6567810851298e-05,0.5183569899294267,0.49984029056350515
4932.YMR156C,0.08597215848248432,0.00945714581464694,0.00026799742722152505,0.5122237893747061,0.18681688139506855
4932.YMR084W,0.052011626128193364,0.006403181154723347,8.101665229972508e-05,0.49343297101449274,0.3052229741454104
4932.YCR050C,0.0013767783386874715,0.00011852439930109106,7.548264906598716e-10,0.38306475241722826,0.25
4932.YFL022C,0.12345112436897661,0.021339107219167812,0.00011631773151992115,0.5148460266204615,0.41682732664864813
4932.YBR177C,0.03135995104788129,0.0029354304379771014,2.303252702603706e-05,0.4844016302334198,0.22869440459110474
4932.YPR012W,0.0001529753709652746,3.877846559216621e-07,0.0,0.30753669552126456,0.0
4932.YBR055C,0.057671714853908526,0.008429050688991685,6.102911276585832e-05,0.4926149208741522,0.3371945369377504
4932.YNL092W,0.03396053235429096,0.0032219366555374814,0.00018972168298335906,0.4827917282127031,0.26517467693938285
4932.YLR339C,0.012696955790117792,0.001060179335812034,0.00010495154197523423,0.45716483670186725,0.27769615045548046
4932.YDR394W,0.12085054306256694,0.01986815751581498,0.00023546958294063636,0.5156989586620385,0.3156374837560764
4932.YBL006W-A,0.04099739941869359,0.0001556959960301171,4.978910767696223e-05,0.39986542696354294,0.6401140365587792
4932.YDL210W,0.045280709805721284,0.004070767864394371,9.188835453869541e-05,0.49306079348318,0.20728355474118185
4932.YPR139C,0.1324766712559278,0.018749562234114257,0.00032613675982800686,0.5221663072130361,0.2739110120279272
4932.YDR246W-A,0.014838610983631637,0.0002502799358971938,9.181070856336348e-05,0.4330286168521463,0.6984536082474226
4932.YLR247C,0.13278262199785837,0.02044585395531596,0.00037185848514922687,0.5204617834394905,0.3510914802353579
4932.YPL167C,0.066850237111825,0.008091936757279096,0.00011135969997153694,0.4956403063158693,0.34144395692062224
4932.YEL006W,0.013002906532048341,0.00083116406164656,1.717276954014816e-05,0.45751679731243,0.2008403361344538
4932.YML103C,0.1626128193360869,0.02363396945186559,0.00041587230687321425,0.5322423058133855,0.2483235982446723
4932.YDR138W,0.13767783386874713,0.021340979080324028,0.0002876089345660864,0.521125637755102,0.29770609318996416
4932.YMR226C,0.127581459385039,0.01748003699211781,0.00020610375148379418,0.5225837397074107,0.2666850913027081
4932.YBR228W,0.03962062108000612,0.0038298337579649963,5.2391289584639377e-05,0.48663738554306557,0.3345904043578462
4932.YDL077C,0.07312222732140126,0.006854005707016441,0.0001841342082178193,0.5018424689083372,0.2209064673736656
4932.YGR100W,0.026311763806027233,0.002463561606352878,2.5872186802147158e-05,0.48059108954565505,0.1956344349245206
4932.YHR147C,0.17622762735199635,0.028718988980198687,0.0003609481715485226,0.5343742336303442,0.3353484892364128
4932.YDL164C,0.08092397124063026,0.009307193836720563,0.00015725554550233988,0.5027688047992617,0.2977387294495045
4932.YGR073C,0.0006119014838610984,2.0026371084098082e-05,8.633887537049041e-08,0.34077047385706094,0.16666666666666666
4932.YMR008C,0.030136148080159096,0.0031202315900398926,3.418363442657162e-05,0.4858416945373467,0.19947166683932457
4932.YOR189W,0.017439192290041306,0.002121503709035961,1.7667972721795786e-05,0.47441759198780753,0.3945039590125757
4932.YBR108W,0.10448217836928256,0.014567531890713277,0.00022137563379584377,0.5143194335169158,0.2803055349222638
4932.YGL064C,0.19106623833562797,0.03145982411241042,0.0004336999144665501,0.5391340206185568,0.31055485413972206
4932.YML132W,0.008107694661159555,0.0005167727950022584,8.21858166890061e-06,0.4358290552703514,0.204644412191582
4932.YMR289W,0.17607465198103106,0.02542031768371184,0.00043119528526405765,0.5382905138339921,0.2787186945189438
4932.YLR409C,0.1307939421753098,0.02118767946952218,0.00011232819154359994,0.5184392100880324,0.4200775161948587
4932.YDR167W,0.06945081841823467,0.008715572578673565,0.00015307047220706048,0.4998852947923836,0.2600869387636024
4932.YPL121C,0.0289123451124369,0.0026037452458829145,0.00012431039864711015,0.48674609084139986,0.19030732860520094
4932.YDR324C,0.1060119320789353,0.01767548619241978,0.0001196665227898992,0.5095884003741815,0.5019351233224065
