Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
7227.FBpp0079552,0.01915144372421921,0.0031035033837258884,2.550648060841637e-05,0.47198067226597745,0.26391446391446394
7227.FBpp0074616,0.016647024160282853,0.001734713472871372,3.390314864638553e-05,0.46113054186905844,0.25632251720747296
7227.FBpp0303816,0.014952857984678845,0.0011118421316637188,3.2819188704868075e-05,0.4592408546144726,0.2973223430717456
7227.FBpp0083433,0.002578078962875663,2.9784415260159668e-05,2.0788732929942943e-08,0.35102264339118644,0.8403361344537815
7227.FBpp0078490,0.07005008839127873,0.00944351498626663,0.00020780453161772612,0.5015165587026233,0.16454258675078864
7227.FBpp0072587,0.02497053624042428,0.0026984205160620594,3.2961337280081277e-05,0.47670960499917503,0.19194986996212318
7227.FBpp0084476,0.042722451384796696,0.005876971459650185,9.693183804885102e-05,0.49027423220050376,0.14695968078137098
7227.FBpp0085978,0.006187389510901591,0.0007460426040470955,4.676322007562864e-06,0.44183788576740085,0.18244406196213425
7227.FBpp0078554,0.014289923394225103,0.0015523495343470375,1.1128545906816814e-05,0.46343146665077006,0.13952246140697613
7227.FBpp0078565,0.038892162639952856,0.006296852996911944,1.2576121067876615e-05,0.4775322127835446,0.477905238341671
7227.FBpp0081662,0.023497348261638185,0.0021733937260873743,2.2117809698002364e-05,0.4633364557575867,0.3703002701050847
7227.FBpp0082497,0.013037713612256923,0.001974186453423303,2.764346228463285e-06,0.45812374452520466,0.4454930662557781
7227.FBpp0291406,0.0020624631703005302,0.00012129261223541287,2.516055823873318e-07,0.3879940689061642,0.6904761904761905
7227.FBpp0081452,0.005156157925751326,0.00015977637849541156,5.526772132998474e-06,0.3856217925776798,0.4579710144927536
7227.FBpp0075188,0.043680023571007656,0.02049171522712643,2.644651491178458e-06,0.4625935494218106,0.8839843215897178
7227.FBpp0083779,0.029979375368296993,0.004602371636399108,2.4746877576392804e-05,0.48306097802720005,0.22838019389743527
7227.FBpp0312371,0.014216263995285798,0.0002672951966121883,4.8842103672534585e-05,0.411595225806694,0.36183074265975823
7227.FBpp0084404,0.004051266941661756,7.466866297925953e-05,3.333836781657325e-06,0.35643889057649325,0.468013468013468
7227.FBpp0290208,0.0632734236888627,0.007343363975629609,0.0006709083759209725,0.5023154181960189,0.16061935735975316
7227.FBpp0073781,0.06393635827931644,0.012950761064702028,0.00014196113413885952,0.5002215107791623,0.2926214128915323
7227.FBpp0309511,0.016573364761343547,0.002583037701871949,1.6881000644245304e-05,0.46605962241627535,0.30932539682539684
7227.FBpp0291525,0.003020035356511491,0.00027655541122379655,6.2723729704867435e-06,0.4221670209900851,0.2890243902439024
7227.FBpp0085619,0.09929286977018267,0.016481172509088347,0.00038120798854462604,0.5125299434630356,0.21096887467258818
7227.FBpp0082973,0.08485562757807896,0.010913327241393727,0.0004805752515770631,0.5107731171538923,0.16251417849213246
7227.FBpp0071094,0.028874484384207425,0.0032341858563073585,6.946058646547617e-05,0.48127789580129665,0.19697009238478
7227.FBpp0303237,0.010091337654684738,0.0015039043838934775,2.7723223920392977e-06,0.45272451636623706,0.28842851009016746
7227.FBpp0081001,0.07358573954036535,0.012204088992341792,0.00012966393781506217,0.5024270893401583,0.3057085141253478
7227.FBpp0087412,0.0027990571596935767,2.9891577653000664e-05,2.785518202758093e-06,0.356570110026599,0.2887624466571835
7227.FBpp0110114,0.010827931644077785,0.0013401045344479609,8.140907742117775e-06,0.44116227069009767,0.38374801975584755
