Locus,Sequence_Length,Aromaticity,Sec_Struct_Helix,Sec_Struct_Turn,Sec_Struct_Sheet_x,Percent_A,Percent_C_x,Percent_D,Percent_E,Percent_F,Percent_G,Percent_H,Percent_I,Percent_K,Percent_L,Percent_M,Percent_N,Percent_P,Percent_Q,Percent_R,Percent_S,Percent_T,Percent_V,Percent_W,Percent_Y,IsoelectricPoint,Tiny_Number,Small_Number,Aliphatic_Number,Aromatic_Number,Non-polar_Number,Polar_Number,Charged_Number,Basic_Number,Acidic_Number,predict_xgboost,predict_rfc,Local Average Connectivity_y,Density of Maximum neighborhood Component_y,Topology Potential_y,Edge Clustering Coefficient_y,DegreeCentrality_y,EigenvectorCentrality_y,BetweennessCentrality_y,ClosenessCentrality_y,Clustering_y,predict_rfc_over,predict_rfc_under
6183.A0A3Q0KBT5,492,0.0609756097560975,0.3536585365853658,0.3536585365853658,0.2926829268292683,0.0548780487804878,0.0182926829268292,0.0589430894308943,0.0670731707317073,0.0345528455284552,0.0508130081300813,0.0142276422764227,0.048780487804878,0.08130081300813,0.0975609756097561,0.0284552845528455,0.056910569105691,0.0447154471544715,0.032520325203252,0.073170731707317,0.0609756097560975,0.0589430894308943,0.0914634146341463,0.0040650406504065,0.0223577235772357,9.5651,120,244,144,37,244,248,145,83,62,1,1,0.2715053273472824,0.4116800457877179,428.9834011445543,0.504572345934887,0.082797699594046,0.0062031736211869,4.766584555233893e-05,0.501324227091906,0.4116800457877179,1,1
6183.A0A3Q0KBU5,597,0.0653266331658291,0.2847571189279732,0.3936348408710218,0.321608040201005,0.0351758793969849,0.0217755443886097,0.0435510887772194,0.0485762144053601,0.0318257956448911,0.0435510887772194,0.0435510887772194,0.0619765494137353,0.0586264656616415,0.0988274706867671,0.0134003350083752,0.0904522613065326,0.0435510887772194,0.0485762144053601,0.0402010050251256,0.1139028475711892,0.0720268006700167,0.0569514237855946,0.0033500837520938,0.0301507537688442,8.0872,171,311,151,65,263,334,140,85,55,1,1,0.3182606710550827,0.2899628573896519,334.4645065363825,0.3185809809427617,0.0575947225981055,0.0059586070787857,6.77513111949709e-05,0.492911399062114,0.2899628573896519,1,1
6183.A0A3Q0KBV0,651,0.086021505376344,0.3271889400921659,0.3563748079877112,0.3164362519201228,0.0798771121351766,0.0168970814132104,0.043010752688172,0.0384024577572964,0.0414746543778801,0.0798771121351766,0.0230414746543778,0.0675883256528417,0.0506912442396313,0.1105990783410138,0.0076804915514592,0.0491551459293394,0.0491551459293394,0.0337941628264208,0.0568356374807987,0.0844854070660522,0.0384024577572964,0.0844854070660522,0.0138248847926267,0.0307219662058371,9.5299,195,342,223,71,379,272,138,85,53,1,1,0.2189759035387885,0.2710466547397003,429.65883998835176,0.3948701683626825,0.0822902571041948,0.0047008740859876,0.00016279736963,0.5061866053932088,0.2710466547397003,1,1
6183.A0A3Q0KBW6,723,0.0829875518672199,0.2724757952973721,0.4467496542185338,0.280774550484094,0.0470262793914246,0.0193637621023513,0.0594744121715076,0.0442600276625172,0.0401106500691562,0.0318118948824343,0.0331950207468879,0.0345781466113416,0.0580912863070539,0.0788381742738589,0.0138312586445366,0.0705394190871369,0.0774550484094052,0.0331950207468879,0.0553250345781466,0.1493775933609958,0.0525587828492392,0.0580912863070539,0.0124481327800829,0.0304287690179806,8.3621,217,409,158,84,321,402,181,106,75,1,1,0.3061974499684121,0.390317599432411,270.3212400038129,0.4011089963945692,0.0415257104194857,0.0047886300810868,2.2763625623570807e-05,0.4806701883786093,0.3887277110436842,1,1
6183.A0A3Q0KBW7,403,0.0893300248138957,0.3002481389578164,0.3995037220843672,0.3002481389578164,0.0421836228287841,0.0198511166253101,0.0545905707196029,0.064516129032258,0.0471464019851116,0.0570719602977667,0.0223325062034739,0.0744416873449131,0.0719602977667493,0.0843672456575682,0.0223325062034739,0.0843672456575682,0.0446650124069478,0.0347394540942928,0.0521091811414392,0.086848635235732,0.0421836228287841,0.0521091811414392,0.0148883374689826,0.0272952853598014,7.8826,100,195,102,45,196,207,107,59,48,1,1,0.2974185114726919,0.2726819386005922,318.4083082927981,0.3002284172175921,0.052520297699594,0.0045969271589455,2.3809972455493866e-05,0.4969554349411731,0.2726819386005922,1,1
6183.A0A3Q0KBX5,1321,0.0696442089326268,0.3504920514761545,0.3573050719152157,0.2922028766086298,0.0499621498864496,0.0204390613171839,0.0598031794095382,0.0651021953065859,0.0476911430734292,0.0295230885692657,0.0234670704012112,0.0666161998485995,0.0908402725208175,0.1203633610900832,0.0174110522331567,0.05223315669947,0.0287660862982588,0.0454201362604087,0.05223315669947,0.0961392884178652,0.0567751703255109,0.0552611657834973,0.0045420136260408,0.0174110522331567,8.9502,334,593,386,123,605,716,385,220,165,1,1,0.3068437722660537,0.407342069099977,370.189024801084,0.4363178000392627,0.0675744248985115,0.0061159087285478,4.780513424300321e-05,0.4929321829801044,0.4063224393900897,1,1
6183.A0A3Q0KC01,1123,0.0837043633125556,0.3107747105966162,0.4603739982190561,0.2288512911843276,0.0489759572573463,0.0044523597506678,0.0525378450578806,0.0569902048085485,0.0293855743544078,0.0908281389136242,0.0382902938557435,0.0293855743544078,0.0373998219056099,0.0587711487088156,0.0240427426536064,0.0685663401602849,0.0970614425645592,0.0534283170080142,0.0685663401602849,0.113980409617097,0.0400712377560106,0.0329474621549421,0.0133570792520035,0.0409617097061442,7.3948,335,617,191,137,528,595,285,162,123,1,1,0.2742736280769758,0.4008230888794687,221.7374009314051,0.4123779566276658,0.0285013531799729,0.0025246291370312,2.3807354089334846e-05,0.4770025971746433,0.4008230888794687,1,1
6183.A0A3Q0KC07,837,0.063321385902031,0.3273596176821983,0.4097968936678614,0.2628434886499403,0.046594982078853,0.016726403823178,0.063321385902031,0.05973715651135,0.028673835125448,0.037037037037037,0.038231780167264,0.050179211469534,0.080047789725209,0.091995221027479,0.017921146953405,0.038231780167264,0.069295101553166,0.03584229390681,0.075268817204301,0.1218637992831541,0.054958183990442,0.039426523297491,0.009557945041816,0.025089605734767,9.7784,232,408,191,85,362,475,265,162,103,1,1,0.3118105507368114,0.3048772215438882,352.0450703688944,0.3405652452225741,0.0618234100135318,0.0064459656867344,0.0001664817935743,0.4975900081534075,0.303210089387778,1,1
6183.A0A3Q0KC17,341,0.0527859237536656,0.3401759530791788,0.3812316715542522,0.2785923753665689,0.0469208211143695,0.0263929618768328,0.0498533724340175,0.0879765395894428,0.0205278592375366,0.0469208211143695,0.0205278592375366,0.0469208211143695,0.0879765395894428,0.0762463343108504,0.0351906158357771,0.0762463343108504,0.0381231671554252,0.0293255131964809,0.064516129032258,0.0821114369501466,0.0762463343108504,0.0557184750733137,0.0087976539589442,0.0234604105571847,8.3902,95,170,77,25,145,196,106,59,47,1,1,0.3287180919789084,0.3326051040271323,590.0315357052365,0.4550664944148863,0.1255074424898511,0.0144924033533522,0.0001702124527918,0.5180528073897083,0.3326051040271323,1,1
6183.A0A3Q0KC34,341,0.0997067448680351,0.3255131964809383,0.3372434017595307,0.3372434017595307,0.0909090909090909,0.0205278592375366,0.064516129032258,0.0615835777126099,0.0439882697947214,0.0615835777126099,0.0234604105571847,0.0909090909090909,0.0821114369501466,0.0850439882697947,0.0293255131964809,0.0439882697947214,0.0234604105571847,0.032258064516129,0.0263929618768328,0.0615835777126099,0.0410557184750733,0.0615835777126099,0.0058651026392961,0.0498533724340175,6.1005,94,160,112,42,192,149,88,45,43,1,1,0.2484058378949603,0.2574685173269602,435.88560274302495,0.3551056424727166,0.0837280108254397,0.0058657752598951,0.0001621515928452,0.5084321163639437,0.2574685173269602,1,1
6183.A0A3Q0KC36,341,0.093841642228739,0.3343108504398827,0.3225806451612903,0.343108504398827,0.0879765395894428,0.0175953079178885,0.064516129032258,0.064516129032258,0.0381231671554252,0.064516129032258,0.0205278592375366,0.0879765395894428,0.0733137829912023,0.0791788856304985,0.0263929618768328,0.0381231671554252,0.0263929618768328,0.0381231671554252,0.0381231671554252,0.0557184750733137,0.0527859237536656,0.0703812316715542,0.0058651026392961,0.0498533724340175,5.93,95,163,111,39,189,152,89,45,44,1,1,0.2483133954054318,0.2583638791459735,437.1618884009462,0.3575598863835025,0.0840663058186738,0.0058851277174764,0.0001623966497775,0.5085648258387853,0.2583638791459735,1,1
6183.A0A3Q0KC44,275,0.1272727272727272,0.2872727272727273,0.3636363636363636,0.3490909090909091,0.04,0.0109090909090909,0.08,0.0509090909090909,0.08,0.0581818181818181,0.0363636363636363,0.0545454545454545,0.0581818181818181,0.1018181818181818,0.0181818181818181,0.0327272727272727,0.0472727272727272,0.04,0.0363636363636363,0.0872727272727272,0.0472727272727272,0.0727272727272727,0.0254545454545454,0.0218181818181818,5.5381,67,131,74,45,146,129,72,36,36,1,1,0.2502440816454891,0.2552177119239938,225.12063724851265,0.2685855370915126,0.0289242219215155,0.0021362543252179,3.260506100655726e-05,0.4805318830794211,0.2552177119239938,1,1
6183.A0A3Q0KC52,928,0.0625,0.3426724137931034,0.3976293103448275,0.259698275862069,0.0603448275862069,0.0193965517241379,0.0474137931034482,0.0668103448275862,0.0355603448275862,0.0409482758620689,0.0280172413793103,0.0484913793103448,0.052801724137931,0.1077586206896551,0.0172413793103448,0.074353448275862,0.0538793103448275,0.0344827586206896,0.0560344827586206,0.1282327586206896,0.0484913793103448,0.052801724137931,0.0129310344827586,0.0140086206896551,7.0434,276,488,250,84,430,498,233,127,106,1,1,0.3140298475587321,0.3570316928998804,454.9964375252077,0.4350787694100346,0.0890561569688768,0.0082553774447129,0.000144847958029,0.5084763451592431,0.3570316928998804,1,1
6183.A0A3Q0KC55,685,0.0627737226277372,0.2890510948905109,0.4364963503649635,0.2744525547445255,0.0218978102189781,0.0262773722627737,0.0540145985401459,0.0686131386861313,0.0306569343065693,0.0364963503649635,0.0175182481751824,0.0686131386861313,0.0613138686131386,0.1007299270072992,0.018978102189781,0.0963503649635036,0.0496350364963503,0.037956204379562,0.0408759124087591,0.1386861313868613,0.0656934306569343,0.0335766423357664,0.0116788321167883,0.0204379562043795,5.4534,198,358,154,55,287,398,166,82,84,1,1,0.304132251062439,0.3315162414296954,485.37999772618014,0.4228798806463025,0.0973443843031123,0.0088801281130937,0.0001509619221946,0.5099624695322001,0.3297926188947229,1,1
6183.A0A3Q0KC66,349,0.0802292263610315,0.3180515759312321,0.3782234957020057,0.3037249283667622,0.0458452722063037,0.0057306590257879,0.0429799426934097,0.0773638968481375,0.0372492836676217,0.0257879656160458,0.0257879656160458,0.0716332378223495,0.1260744985673352,0.0716332378223495,0.0200573065902578,0.0544412607449856,0.0716332378223495,0.0257879656160458,0.0773638968481375,0.0573065902578796,0.0458452722063037,0.0744985673352435,0.0114613180515759,0.0315186246418338,10.6102,63,148,92,37,163,186,122,80,42,1,1,0.2879643570945855,0.3756606427263925,496.7225589159123,0.5020462531266503,0.1006427604871448,0.0084262235238974,0.0001782371857639,0.509096357251063,0.3756606427263925,1,1
